timestamp,temperature,sys_load_1,cpu_percent,fan_rpm,cpu_freq
2018-05-10 18:39:38.698037,35,0.19,0.01,643.0,2493.134625
2018-05-10 18:40:38.702363,34,0.17,0.0125,635.0,2335.4419999999996
2018-05-10 18:41:38.706551,35,0.29,0.0075,652.0,2448.4145
2018-05-10 18:42:38.715307,34,0.1,0.0148,645.0,2026.6331249999998
2018-05-10 18:43:38.719630,35,0.04,0.0062,638.0,2842.131875
2018-05-10 18:44:38.723875,33,0.01,0.005,652.0,2215.032
2018-05-10 18:45:38.728002,33,0.08,0.0136,640.0,2700.023
2018-05-10 18:46:38.732220,33,0.13,0.0038,651.0,2440.6935
2018-05-10 18:47:38.736191,33,0.43,0.01,656.0,2454.26675
2018-05-10 18:48:38.740349,34,0.19,0.005,636.0,2507.162875
2018-05-10 18:49:38.744504,33,0.07,0.0038,655.0,2371.6568749999997
2018-05-10 18:50:38.748576,33,0.02,0.0124,648.0,2960.953
2018-05-10 18:51:38.752675,33,0.01,0.0062,646.0,2760.2797499999997
2018-05-10 18:52:38.756692,33,0.0,0.0062,652.0,3316.86675
2018-05-10 18:53:38.760791,33,0.0,0.0075,652.0,2530.806
2018-05-10 18:54:38.764880,33,0.0,0.0062,652.0,3432.6375
2018-05-10 18:55:38.768924,33,0.0,0.0086,644.0,2634.888625
2018-05-10 18:56:38.773120,34,0.0,0.0088,649.0,2297.675625
2018-05-10 18:57:38.777232,32,0.0,0.0111,647.0,3501.1707499999998
2018-05-10 18:58:38.781502,33,0.14,0.005,633.0,2147.367
2018-05-10 18:59:38.785712,35,0.18,0.005,651.0,2652.482
2018-05-10 19:00:38.789979,34,0.18,0.0075,648.0,2683.0941249999996
2018-05-10 19:01:38.793952,35,0.06,0.01,653.0,3172.8611249999994
2018-05-10 19:02:38.797757,35,0.07,0.01,641.0,2659.3862500000005
2018-05-10 19:03:38.801379,35,0.12,0.011200000000000002,657.0,2693.211375
2018-05-10 19:04:38.805129,36,0.04,0.0161,651.0,2424.3821249999996
2018-05-10 19:05:38.808596,38,0.01,0.0125,637.0,3541.364625
2018-05-10 19:06:38.812192,39,0.05,0.009899999999999999,641.0,3342.4552500000004
2018-05-10 19:07:38.815680,38,0.13,0.011200000000000002,649.0,2676.637375
2018-05-10 19:08:38.819205,36,0.12,0.011200000000000002,644.0,2708.0745
2018-05-10 19:09:38.822712,37,0.04,0.01,648.0,1823.840375
2018-05-10 19:10:38.826342,36,0.06,0.0075,648.0,2077.545375
2018-05-10 19:11:38.829951,34,0.02,0.0088,644.0,1737.2631250000002
2018-05-10 19:12:38.833567,35,0.0,0.0124,638.0,1848.1004999999998
2018-05-10 19:13:38.837085,36,0.1,0.011200000000000002,643.0,2349.039875
2018-05-10 19:14:38.840527,35,0.03,0.0124,633.0,2461.92975
2018-05-10 19:15:38.844051,35,0.01,0.0138,645.0,2966.4219999999996
2018-05-10 19:16:38.847604,36,0.0,0.0161,648.0,2544.963125
2018-05-10 19:17:38.851231,34,0.06,0.0075,637.0,1922.271625
2018-05-10 19:18:38.854826,36,0.09,0.0088,655.0,2297.9995
2018-05-10 19:19:38.858420,35,0.11,0.0173,641.0,2946.69125
2018-05-10 19:20:38.862134,35,0.29,0.0088,636.0,2387.0342499999997
2018-05-10 19:21:38.865870,35,0.21,0.0088,652.0,2105.693875
2018-05-10 19:22:38.869587,35,0.07,0.0124,656.0,1993.9315
2018-05-10 19:23:38.873170,36,0.08,0.0086,647.0,2717.55325
2018-05-10 19:24:38.876873,35,0.03,0.0088,650.0,2719.3005000000003
2018-05-10 19:25:38.880644,35,0.01,0.0075,652.0,1945.596375
2018-05-10 19:26:38.884329,34,0.08,0.0088,642.0,1803.013
2018-05-10 19:27:38.888110,34,0.03,0.0149,635.0,1666.2192499999999
2018-05-10 19:28:38.891704,34,0.01,0.0111,638.0,1749.832125
2018-05-10 19:29:38.895381,35,0.23,0.009899999999999999,656.0,1873.268375
2018-05-10 19:30:38.899310,35,0.12,0.0088,636.0,1640.285125
2018-05-10 19:31:38.903027,35,0.04,0.01,643.0,1623.214875
2018-05-10 19:32:38.906878,33,0.01,0.0161,646.0,1873.128875
2018-05-10 19:33:38.910852,34,0.0,0.0111,645.0,1691.48875
2018-05-10 19:34:38.914715,33,0.14,0.0124,650.0,1967.5214999999998
2018-05-10 19:35:38.918586,35,0.05,0.011200000000000002,650.0,1861.60225
2018-05-10 19:36:38.922464,34,0.06,0.01,646.0,1764.599875
2018-05-10 19:37:38.926224,33,0.05,0.0138,655.0,1702.8104999999998
2018-05-10 19:38:38.929873,34,0.02,0.0125,646.0,1842.347875
2018-05-10 19:39:38.933785,34,0.66,0.0124,650.0,1642.8178749999997
